year	record	artist	gender	lyrics
1998	"MMMBop"	Hanson	Unknown	Something like a trifecta, call it musketeers, best believe the baller crew is who you're born to fear, so put em up you mother fucking punk & drop your weapon, we holding everybody up you stupid bitch so get to stepping Walk the plank & face the gallows cuz I’m hanging you up like a post-it note bitch, I'm gonna call your bluff so phone home & let your gang know that there ain't no way out, prepped & ready to straight ball & fucking spray this thing out Melt your face with a couple mm casings, smoking bullet wounds in your skull punk, your dome disintegrating, player-hating & running that mouth, foretell your fortune, torture the oppressors, blood & gore, leave a mess for your loving family to clean up, triple-team these fiends up, flex nuts & get the haters straight deadeye in the crosshairs, throw it up, balling & having these bitches crawling is our cross to bear So think twice before you step to this triple threat, catch you in a cold sweat, serving up death sentences to innocents & haters, everyone’s a victim, hit em with conviction, prescription for pain, say the name in vain?, last mistake you make & then we fucking up this game, buck-buck on these lames, shameless names of slain dames & fine dimes, the life & times of a couple ballers, Cookie Cookie coming through to flex on you & murk your fucking dollars..  (Recluse) Introduce you to the real me, the guy that never gave a fuck about his enemies, the one who gave a fuck about no hoe, “Love bitch?, we just met & I just fucked you so hit the road”, it's true, fuck a relationship, you want a title?, name this dick, it's sick but I'm still with the same clique, the crew, ball out til I fall out, I thought you knew, hit em while they flex & everyday find new hoes to sex, never live in the past & there are no regrets, I scheme to get the means that I want to achieve Receive some dome & never calling anywhere home, bitch I'm full-grown, boy you better watch that tone, mob that ass like Capone, always shooting, always got tricks up in my sleeve, c'mon now, I know you remember me, Timothy, big hands & a hard dick, busting nuts in the jaw of your baby bitch, quick to light you up like a Bic, break your fucking spine if you get out of line, no lie, what you know about this life coming up through strife?, we are not alike, I'm living by the knife, my skills can't be reached, from North Texas to Long Beach Yeah the flows are back, actually I never quit, I’ll always spit the realest & it’s harder than a block hit, can't hang with this, I’mma shark swimming in a school of fish, attack & mack your girl til it's time to make that pussy queef, just hoping you beef cuz I'll steal your jaw like a fucking thief, you're a rookie, I’mma chief, don't play with me, capiche?, anything you want we got, everything we are you're not, that's why I'm in your spot, you slipped up & got caught, now prepare that ass for this slaughter onslaught..  (Monsturr) Get the fuck up!, this shit's the Baller Anthem, get up & then I will split your shit up so don't come to me throwing a fucking tantrum, randomly in tandem, come with me, the fucking phantom, hold you for eternity without a ransom, with the demon dancing, as I'm steadily advancing I can see you glancing, tangle with Sampson & you can be sure that a fist will come flying up into your face like Hanson, Mmmbop bitch!, learn your fucking lesson, when's it gonna stop snitch?, I'm still holding hostages with a fucking Bostitch So you better Koscheck your mother fucking neck cuz I be deadly with a couple knuckles, make a pussy's knees buckle, duck & I'll uppercut you, slut you must be gutsy to trust me, you're an awful fussy hussy, when I begin to stuff you off in a trunk, coffin to some, offering none verse mercy, I'm on my Wayne Gacy, bitch is looking rather tasty, fuck it!, I'm calling in the Murph to be doctoring up on the fucking verse while I'm flirting with the nurse..  (Recluse) I'm back to spend these expendable hoes, to go upside your head with my flows, leave your brains on the sand, this ain't Rock Band, I play pussy til it gets gushy, wallow it out, calm down, follow this rhyme to J-Town, it's time to lay down on the bed & give a baller some head or something trick, gobble a dick! I'm above average, your legs provide me with great leverage so I can knock the bottom out, got a hand covering your mouth!, the balling crew won't be stopped, we'll release our stress upside your dome, you got all the shit we need to be the people we couldn't be on our own What's ripped can't be sewn so let's drink up & not give a fuck cuz when we roll up you're out of luck, lack of confidence & weak game, we are not the same, you're lame, me & my goons are outrageously balling, that's why your girls keep on calling, slipping through the trees, lurking, steadily smirking, I hit pussy while you got the Jergens, steadily jerking, I'm getting ready for the insertion, call me the surgeon, a general, filling up your girls genitals then I'm out to take a piss, not even my name on a hit list could stop this you little bitch! Don't be pissed just forget about it while me & your girl kiss, boy got problems?, boy can meet this fist, you little fucking punk ass bitch, fold you up real quick, we will never give a fuck, that's why you're laying on the ground stuck MOTHER FUCKER!..
1998	"Where Have All the Cowboys Gone?"	Paula Cole	Female	One, two, three, four  Oh, you get me ready In your ' Chevy Why don't we go sit down in the shade? Take shelter on my front porch The dandelion sun scorching Like a glass of cold lemonade  I will do the laundry If you pay all the bills  Where is my John Wayne? Where is my prairie song? Where is my happy ending? Where have all the cowboys gone?  Why don't you stay the evening? Kick back and watch the TV And I'll fix a little something to eat Oh, I know your back hurts From working on the tractor How do you take your coffee, my sweet? I will raise the children If you pay all the bills  Where is my John Wayne? Where is my prairie song? Where is my happy ending? Where have all the cowboys gone?  I am wearing my new dress tonight But you don't, but you don't even notice me Say our goodbyes Say our goodbyes Say our goodbyes  We finally sell the Chevy When we had another baby And you took that job in Tennessee You made friends at the farm And you join them at the bar Almost every single day of the week  I will wash the dishes While you go have a beer Where is my John Wayne? Where is my prairie song? Where is my happy ending? Where have all the cowboys gone? Where is my Marlboro Man? Where is his shiny gun? Where is my lonely ranger? Where have all the cowboys gone? Where have all the cowboys gone? Where have all the cowboys gone?  Yippy-yi, yippy-yay, yippy-yi, yippy-yay Yippy-yi, yippy-yay, yippy-yi, yippy-yay Yippy-yi, yippy-yay, yippy-yi, yippy-yay Yippy-yi, yippy-yay, Ya-ya-ya, yay, ya-ya-yay
1999	"My Heart Will Go On"	Celine Dion	Female	Every night in my dreams I see you, I feel you That is how I know you go on Far across the distance And spaces between us You have come to show you go on  Near, far, wherever you are I believe that the heart does go on Once more, you open the door And you're here in my heart And my heart will go on and on  Love can touch us one time And last for a lifetime And never let go 'til we're gone Love was when I loved you One true time I'd hold to In my life, we'll always go on  Near, far, wherever you are I believe that the heart does go on Once more, you open the door And you're here in my heart And my heart will go on and on You're here, there's nothing I fear And I know that my heart will go on We'll stay forever this way You are safe in my heart And my heart will go on and on
1999	"The Boy Is Mine"	Brandy & Monica	Female	The boy is mine The boy is mine The boy is mine The boy is mine The boy is mine  - Excuse me, can I please talk to you for a minute? - Uh-huh, sure. You know, you look kinda familiar - Yeah, you do too. But um, I just wanted to know, do you know somebody named...? You, you know his name - Oh yeah, definitely. I know his name - Well, I just wanna let you know that he's mine - Ha, no, no, he's mine!  You need to give it up Had about enough It's not hard to see The boy is mine I'm sorry that you Seem to be confused He belongs to me The boy is mine  I think it's time we got this straight Let's sit and talk face to face There is no way you could mistake Him for your man, are you insane? You see, I know that you may be Just a bit jealous of me But you're blind if you can't see That his love is all in me You see, I tried to hesitate I didn't wanna say what he told me He said without me, he couldn't make it Through the day, ain't that a shame? But maybe you misunderstood 'Cause I can't see how he could Wanna change something that's so good All my love was all it took (The boy is mine) You need to give it up Had about enough (Enough) It's not hard to see (Oh) The boy is mine (Boy is mine) I'm sorry that you (Sorry that you) Seem to be confused (Confused) He belongs to me (Oh) The boy is mine  Must you do the things you do? You keep on acting like a fool You need to know it's me, not you And if you didn't know it, girl, it's true I think that you should realize And try to understand why He is a part of my life I know it's killing you inside You can say what you wanna say What we have, you can't take From the truth, you can't escape I can tell the real from the fake When will you get the picture? You're the past, I'm the future Get away, it's my time to shine If you didn't know, the boy is mine, oh (The boy is mine, oh-oh) You need to give it up Had about enough (Enough) It's not hard to see (To see) The boy is mine (The boy is mine) I'm sorry that you (Sorry that you) Seem to be confused (Seem to be confused) He belongs to me (He belongs to me) The boy is mine (The boy is mine)  You need to give it up (Ooh) Had about enough (Had about enough) It's not hard to see The boy is mine (He's mine, he's mine, he's mine, he's mine) I'm sorry that you (I'm so sorry) Seem to be confused (You seem to be confused) He belongs to me (He belongs to me) The boy is mine  I can't destroy this love I've found Your silly games, I won't allow The boy is mine without a doubt You might as well throw in the towel What makes you think that he wants you When I'm the one that brought him to The special place that's in my heart? He was my love right from the start (The boy is mine) You need to give it up (Give it on up) Had about enough (Had about enough) It's not hard to see (It's not hard to see) The boy is mine (The boy is mine, oh) I'm sorry that you (I'm sorry that you) Seem to be confused (Seem to be confused) He belongs to me (He belongs to me) The boy is mine (No, no) You need to give it up (You need to give it up) Had about enough (About enough) It's not hard to see (It's not hard to see) The boy is mine (The boy is mine) I'm sorry that you (Mine, oh) Seem to be confused (Seem to be confused) He belongs to me (He belongs to me) The boy is mine (The boy is mine)  You need to give it up (Not yours) Had about enough (But mine, not yours) It's not hard to see (But mine, not yours) The boy is mine (But mine) I'm sorry that you Seem to be confused He belongs to me The boy is mine
1999	"Iris"	Goo Goo Dolls	Unknown	And I'd give up forever to touch you 'Cause I know that you feel me somehow You're the closest to heaven that I'll ever be And I don't wanna go home right now  And all I can taste is this moment And all I can breathe is your life And sooner or later, it's over I just don't wanna miss you tonight  And I don't want the world to see me 'Cause I don't think that they'd understand When everything's made to be broken I just want you to know who I am  And you can't fight the tears that ain't coming Or the moment of truth in your lies When everything feels like the movies Yeah, you bleed just to know you're alive  And I don't want the world to see me 'Cause I don't think that they'd understand When everything's made to be broken I just want you to know who I am  And I don't want the world to see me 'Cause I don't think that they'd understand When everything's made to be broken I just want you to know who I am  And I don't want the world to see me 'Cause I don't think that they'd understand When everything's made to be broken I just want you to know who I am  I just want you to know who I am I just want you to know who I am I just want you to know who I am
1999	"Ray of Light"	Madonna	Female	Zephyr in the sky at night, I wonder Do my tears of mourning sink beneath the sun? She's got herself a universe gone quickly For the call of thunder threatens everyone  And I feel like I just got home And I feel And I feel like I just got home And I feel  Faster than the speeding light she's flying Trying to remember where it all began She's got herself a little piece of heaven Waiting for the time when Earth shall be as one  And I feel like I just got home And I feel And I feel like I just got home And I feel  Quicker than a ray of light Quicker than a ray of light Quicker than a ray of light Zephyr in the sky at night, I wonder Do my tears of mourning sink beneath the sun? She's got herself a universe gone quickly For the call of thunder threatens everyone  And I feel Quicker than a ray of light, then gone for Someone else will be there Through the endless years  She's got herself a universe She's got herself a universe She's got herself a universe And I feel And I feel And I feel like I just got home And I feel Quicker than a ray of light, she's flying Quicker than a ray of light, I'm flying
1999	"You're Still the One"	Shania Twain	Female	[]
2000	"Smooth"	Santana featuring Rob Thomas	Unknown	Man, it's a hot one Like seven inches from the midday sun I hear you whisper and the words melt everyone But you stay so cool My muñequita, my Spanish Harlem Mona Lisa You're my reason for reason, the step in my groove  And if you say this life ain't good enough I would give my world to lift you up I could change my life to better suit your mood Because you're so smooth  And it's just like the ocean under the moon It's the same as the emotion that I get from you You got the kind of loving that can be so smooth Gimme your heart, make it real, or else forget about it  I'll tell you one thing If you would leave it would be a crying shame In every breath and every word I hear your name calling me out Out from the barrio, you hear my rhythm on the radio You feel the turning of the world so soft and slow, turnin' you round and round And if you said, "This life ain't good enough" I'd give my world to lift you up I could change my life to better suit your mood Because you're so smooth, and  Oh, and it's just like the ocean under the moon It's the same as the emotion that I get from you You got the kind of loving that can be so smooth, yeah Gimme your heart, make it real, or else forget about it, yeah   And it's just like the ocean under the moon It's the same as the emotion that I get from you You got the kind of loving that can be so smooth, yeah Gimme your heart, make it real, or else forget about it, damn  Or else forget about it Oh, or else forget about it Oh, let's don't forget about it (Gimme your heart, make it real) Let's don't forget about it, hey Let's don't forget about it, no, oh, no, oh Let's don't forget about it, no, no, no, oh Let's don't forget about it, hey, no, no, oh Let's don't forget about it, hey, hey, hey
2000	"Believe"	Cher	Female	[]
2000	"I Want It That Way"	Backstreet Boys	Unknown	Yeah-eh-eh  You are my fire The one desire Believe when I say I want it that way But we are two worlds apart Can't reach to your heart When you say That I want it that way  Tell me why Ain't nothing but a heartache Tell me why Ain't nothing but a mistake Tell me why I never wanna hear you say I want it that way  Am I your fire? Your one desire Yes, I know it's too late But I want it that way Tell me why Ain't nothing but a heartache Tell me why Ain't nothing but a mistake Tell me why I never wanna hear you say I want it that way  Now I can see that we're falling apart From the way that it used to be, yeah No matter the distance I want you to know That deep down inside of me  You are my fire The one desire You are (You are, you are, you are)  Don't wanna hear you say Ain't nothin' but a heartache Ain't nothin' but a mistake (Don't wanna hear you say) I never wanna hear you say (Oh, yeah) I want it that way Tell me why Ain't nothing but a heartache Tell me why Ain't nothing but a mistake Tell me why I never wanna hear you say (Don't wanna hear you say) I want it that way Tell me why Ain't nothin' but a heartache Ain't nothin' but a mistake Tell me why I never wanna hear you say (Never wanna hear you say, yeah) I want it that way 'Cause I want it that way
2000	"Livin' la Vida Loca"	Ricky Martin	Male	She's into superstitions Black cats and voodoo dolls I feel a premonition That girl's gonna make me fall  She's into new sensations New kicks in the candlelight She's got a new addiction For every day and night  She'll make you take your clothes off and go dancing in the rain She'll make you live her crazy life, but she'll take away your pain Like a bullet to your brain, come on!  Upside, inside out She's livin' la vida loca She'll push and pull you down Livin' la vida loca Her lips are devil red And her skin's the color mocha She will wear you out Livin' la vida loca (Come on!) Livin' la vida loca (Come on!) She's livin' la vida loca Woke up in New York City In a funky cheap hotel She took my heart and she took my money She must've slipped me a sleeping pill  She never drinks the water, makes you order French champagne Once you've had a taste of her, you'll never be the same Yeah, she'll make you go insane (Come on!)  Upside, inside out She's livin' la vida loca She'll push and pull you down Livin' la vida loca Her lips are devil red And her skin's the color mocha She will wear you out Livin' la vida loca (Come on!) She's livin' la vida loca (Come on!) She's livin' la vida loca  She'll make you take your clothes off and go dancing in the rain She'll make you live her crazy life, but she'll take away your pain Like a bullet to your brain (Come on!) Upside, inside out She's livin' la vida loca She'll push and pull you down Livin' la vida loca Her lips are devil red And her skin's the color mocha She will wear you out Livin' la vida loca (Come on!) Upside, inside out She's livin la vida loca She'll push and pull you down Livin' la vida loca Her lips are devil red And her skin's the color mocha She will wear you out Livin' la vida loca (Come on!) She's livin' la vida loca (Come on!) She's livin' la vida loca (Come on!)  (Come on!) La vida loca La vida loca La vi
2000	"No Scrubs"	TLC	Unknown	[]
2001	"Beautiful Day"	U2	Unknown	The heart is a bloom, shoots up through the stony ground There's no room, no space to rent in this town You're out of luck, and the reason that you had to care The traffic is stuck, and you're not moving anywhere You thought you'd found a friend to take you out of this place Someone you could lend a hand in return for grace  It's a beautiful day Sky falls, you feel like It's a beautiful day Don't let it get away  You're on the road, but you've got no destination You're in the mud, in the maze of her imagination You love this town even if that doesn't ring true You've been all over, and it's been all over you  It's a beautiful day Don't let it get away It's a beautiful day Ooh-hoo-hoo Touch me Take me to that other place Teach me I know I'm not a hopeless case  See the world in green and blue See China right in front of you See the canyons broken by cloud See the tuna fleets clearing the sea out See the Bedouin fires at night See the oil fields at first light And see the bird with a leaf in her mouth After the flood all the colours came out  It's a beautiful day Don't let it get away Beautiful day  Touch me Take me to that other place Reach me I know I'm not a hopeless case What you don't have you don't need it now What you don't know you can feel it somehow What you don't have you don't need it now Don't need it now Was a beautiful day
2001	"Bye Bye Bye"	*NSYNC	Unknown	Hey, hey Bye bye bye Bye bye! Bye bye! (oh oh)  I'm doing this tonight You're probably gonna start a fight I know this can't be right Hey baby, come on I loved you endlessly And you weren't there for me So now it's time to leave And make it alone  I know that I can't take no more It ain't no lie I wanna see you out that door Baby, bye bye bye (bye bye)  Don't wanna be a fool for you Just another player in your game for two You may hate me but it ain't no lie Baby, bye bye bye (bye bye) Don't really wanna make it tough I just wanna tell you that I had enough Might sound crazy but it ain't no lie Baby, bye bye bye Just hit me with the truth Now! Girl, you're more than welcome to So give me one good reason Baby, come on I live for you and me And now I really come to see That life would be much better Once you're gone  I know that I can't take no more It ain't no lie I wanna see you out that door Baby, bye bye bye (bye bye)  Don't wanna be a fool for you Just another player in your game for two You may hate me but it ain't no lie Baby, bye bye bye (bye bye) Don't really wanna make it tough I just wanna tell you that I had enough  (ooh, ooh ooh) Might sound crazy but it ain't no lie Baby, bye bye bye I'm giving up, I know for sure I don't wanna be the reason for your love no more (Bye bye!) I'm checkin' out, I'm signin' off I don't want to be the loser and I've had enough  I don't wanna be your fool In this game for two So I'm leaving you behind (Bye bye bye, yeah) I don't wanna make it tough (Make it though) But I've had enough (bye bye...) And it ain't no lie Bye bye (baby!)  Don't wanna be a fool for you (I don't wanna be a fool) Just another player in your game for two (In this game for two) I don't wanna be a fool but it ain't no lie Baby, bye bye bye (bye bye) Don't really wanna make it tough (oh oh) (I don't wanna make it tough) I just wanna tell you that I had enough (But I've had enough) Might sound crazy but it ain't no lie Bye bye bye (bye bye!)
2001	"I Try"	Macy Gray	Female	Games, changes and fears When will they go from here? When will they stop? I believe that fate has brought us here And we should be together, babe But we're not  I play it off, but I'm dreaming of you And I'll keep my cool, but I'm feigning  I try to say goodbye and I choke I try to walk away and I stumble Though I try to hide it, it's clear My world crumbles when you are not near Goodbye and I choke I try to walk away and I stumble Though I try to hide it, it's clear My world crumbles when you are not near  I may appear to be free But I'm just a prisoner of your love And I may seem alright and smile when you leave But my smiles are just a front Just a front, hey! I play it off, but I'm dreaming of you And I'll keep my cool, but I'm feigning  I try to say goodbye and I choke (Yeah) I try to walk away and I stumble Though I try to hide it, it's clear My world crumbles when you are not near Goodbye and I choke (Yeah!) I try to walk away and I stumble Though I try to hide it, it's clear My world crumbles when you are not near  Here is my confession May I be your possession? Boy, I need your touch Your love, kisses, and such With all my might, I try But this I can't deny Deny  I play it off, but I'm dreaming of you (But I'm dreaming of you, babe) I'll keep my cool, but I'm feigning I try to say goodbye and I choke (Yeah) I try to walk away and I stumble (Oh) Though I try to hide it, it's clear My world crumbles when you are not near Goodbye and I choke (Yeah, yeah, yeah) I try to walk away and I stumble (Hey, yeah, yeah!) Though I try to hide it, it's clear (Sick of love) My world crumbles when you are not near (Love, your love, kisses ends) Goodbye and I choke (Goodbye and I choke, yeah) I try to walk away and I stumble Though I try to hide it, it's clear My world crumbles when you are not near  Yeah, yeah, yeah Yeah, yeah
2001	"Music"	Madonna	Female	Hey Mr. DJ, put a record on I wanna dance with my baby  Do you like to? Boogie-woogie, do you like to? Boogie-woogie, do you like to? Boogie-woogie, do you like my acid rock?  Hey Mr. DJ, put a record on I wanna dance with my baby And when the music starts, I never wanna stop It's gonna drive me crazy  Music, music, music, music, music, music, music, music, music Music, makes the people come together Music, mix the bourgeoisie and the rebel  Don't think of yesterday and I don't look at the clock I like to boogie-woogie (Uh-uh!) It's like ridin' on the wind and it never goes away Touches everything I'm in, got to have it every day Music, makes the people come together, yeah Music, mix the bourgeoisie and the rebel  Hey, Mr. DJ  Do you like to? Boogie-woogie, do you like to? Boogie-woogie, do you like to? Boogie-woogie, do you like my acid rock?  Hey Mr. DJ, put a record on I wanna dance with my baby And when the music starts, I never wanna stop It's gonna drive me crazy (Uh-uh-uh)  Music, makes the people come together, yeah Music, mix the bourgeoisie and the rebel  Do you like to? Boogie-woogie, do you like to? Boogie-woogie, do you like to? Boogie-woogie, do you like my acid rock? Do you like to? Boogie-woogie, do you like to? Boogie-woogie, do you like to? Boogie-woogie, do you like my acid rock?
2001	"Say My Name"	Destiny's Child	Unknown	[]
2002	"Walk On"	U2	Unknown	And love is not the easy thing The only baggage you can bring And love is not the easy thing The only baggage you can bring Is all that you can't leave behind  And if the darkness is to keep us apart And if the daylight feels like it's a long way off And if your glass heart should crack And for a second you turn back Oh no, be strong  Walk on, walk on What you got they can't steal it No they can't even feel it Walk on, walk on Stay safe tonight  You're packing a suitcase for a place none of us has been A place that has to be believed to be seen You could have flown away A singing bird in an open cage Who will only fly, only fly for freedom Walk on, walk on What you've got they can't deny it Can't sell it, or buy it Walk on, walk on Stay safe tonight  And I know it aches And your heart it breaks And you can only take so much Walk on, walk on  Home, hard to know what it is if you've never had one Home, I can't say where it is but I know I'm going home That's where the heart is  And I know it aches And your heart it breaks And you can only take so much Walk on, walk on  Leave it behind You've got to leave it behind All that you fashion All that you make All that you build All that you break All that you measure All that you steal All this you can leave behind All that you reason All that you care It's only time And I'll never fill up all my mind All that you sense All that you speak All you dress up And all that you scheme All you create All that you wreck All that you hate
2002	"Drops of Jupiter"	Train	Unknown	Now that she's back in the atmosphere With drops of Jupiter in her hair She acts like summer and walks like rain Reminds me that there's a time to change, hey Since the return of her stay on the moon She listens like spring and she talks like June, hey Hey, hey-yeah  But tell me, did you sail across the sun? Did you make it to the Milky Way To see the lights all faded And that heaven is overrated? And tell me, did you fall from a shooting star? One without a permanent scar And did you miss me while you were Looking for yourself out there?  Now that she's back from that soul vacation Tracing her way through the constellation, hey, mmm She checks out Mozart while she does Tae-Bo Reminds me that there's room to grow, hey, yeah Now that she's back in the atmosphere I'm afraid that she might think of me as Plain ol' Jane told a story about a man Who was too afraid to fly so he never did land But tell me, did the wind sweep you off your feet? Did you finally get the chance To dance along the light of day And head back to the Milky Way? And tell me, did Venus blow your mind? Was it everything you wanted to find? And did you miss me while you were Looking for yourself out there?  Can you imagine no love, pride, deep-fried chicken Your best friend always sticking up for you Even when I know you're wrong? Can you imagine no first dance, freeze-dried romance Five-hour phone conversation The best soy latte that you ever had, and me?  But tell me, did the wind sweep you off your feet? (Feet) Did you finally get the chance To dance along the light of day (Light of day) And head back toward the Milky Way? And tell me, did you sail across the sun? Did you make it to the Milky Way To see the lights all faded And that heaven is overrated? Tell me, did you fall from a shooting star? One without a permanent scar And did you miss me while you were Looking for yourself? Na, na, na, na, na, na Na, na, na, na, na, na And did you finally get the chance To dance along the light of day? Na, na, na, na, na, na Na, na, na, na, na, na And did you fall from a shooting star? Fall from a shooting star? Na, na, na, na, na, na Na, na, na, na, na, na And are you lonely looking for yourself out there?
2002	"Fallin'"	Alicia Keys	Female	I keep on fallin' in And outta love with you Sometimes I love ya, sometimes you make me blue Sometimes I feel good, at times I feel used Lovin' you, darlin', makes me so confused  I keep on fallin' in and out Of love with you I never loved someone The way that I'm lovin' you  Oh, oh, I never felt this way How do you give me so much pleasure And cause me so much pain? (Yeah, yeah) Just when I think I've taken more than would a fool I start fallin' back in love with you  I keep on fallin' in and out Of love with you I never loved someone (Oh, someone) The way that I'm lovin' you (Way I, uh, uh) Oh, baby I, I, I, I'm fallin' (Yeah, yeah, yeah) I, I, I, I'm fallin' Fall, fall, fall (Sing) Fall  I keep on fallin' in and out (Out) Of love with you (Love with you) I never loved someone (I never, loved) The way that I'm lovin' you (Oh) I'm fallin' in and out (Yeah) Of love with you (Of love with you) I never loved someone (No, no, no) The way that I'm lovin' you (Uh) I'm fallin' in and out (Yeah) Of love with you (Of love with you) I never loved someone (No, no, no) The way that I'm lovin' you (Uh)  What?
2002	"Ms. Jackson"	Outkast	Unknown	[]
2002	"Video"	India.Arie	Female	Mmm, mmm, oh Yeah, yeah, yeah, oh Oh yeah, oh yeah, oh yeah, yeah  Sometimes I shave my legs and sometimes I don't Sometimes I comb my hair and sometimes I won't Depend on how the wind blows, I might even paint my toes It really just depends on whatever feels good in my soul (Ooh, ooh, ooh)  I'm not the average girl from your video (Oh) And I ain't built like a supermodel (Oh) But I learned to love myself unconditionally Because I am a queen I not the average girl from your video My worth is not determined by the price of my clothes No matter what I'm wearing I will always be India.Arie  When I look in the mirror and the only one there is me Every freckle on my face is where it's supposed to be, yeah (Haha) And I know my creator didn't make no mistakes on me My feet, my thighs, my lips, my eyes, I'm loving what I see (Yeah) I'm not the average girl from your video (Oh) And I ain't built like a supermodel (Oh) But I learned to love myself unconditionally Because I am a queen (Yeah) I not the average girl from your video (Ooh) My worth is not determined by the price of my clothes (Oh) No matter what I'm wearing I will always be India.Arie  Am I less of a lady if I don't wear pantyhose? My momma said a lady ain't what she wears but what she knows But I've drawn the conclusion, it's all an illusion Confusion's the name of the game A misconception, a vast deception Something's got to change Now don't be offended, this is all my opinion Ain't nothing that I'm saying law This is a true confession of a life learned lesson I was sent here to share with y'all So get in when you fit in, go on and shine Clear your mind, now's the time Put your salt on the shelf Go on and love yourself (Go on and love yourself, go on and love yourself) ‘Cause everything's gonna be alright I'm not the average girl from your video (Oh) And I ain't built like a supermodel (Yeah) But I learned to love myself unconditionally Because I am a queen I not the average girl from your video My worth is not determined by the price of my clothes No matter what I'm wearing I will always be India.Arie  Uh, keep your fancy drinks, and your expensive minks I don't need that to have a good time Keep your expensive cars and your caviar All I need is my guitar Keep your Cristal and your pistol I'd rather have a pretty piece of crystal Don't need your silicone, I prefer my own What God gave me is just fine (Oh)  I'm not the average girl from your video (Yeah) And I ain't built like a supermodel But I learned to love myself unconditionally Because I am a queen I not the average girl from your video My worth is not determined by the price of my clothes No matter what I'm wearing I will always be India.Arie I'm not the average girl from your video (Yeah) And I ain't built like a supermodel But I learned to love myself unconditionally Because I am a queen I not the average girl from your video My worth is not determined by the price of my clothes No matter what I'm wearing I will always be India.Arie
2003	"Don't Know Why"	Norah Jones	Female	I waited till I saw the sun I don't know why I didn't come I left you by the house of fun I don't know why I didn't come I don't know why I didn't come  When I saw the break of day I wished that I could fly away Instead of kneeling in the sand Catching teardrops in my hand  My heart is drenched in wine But you'll be on my mind Forever  Out across the endless sea I would die in ecstasy But I'll be a bag of bones Driving down the road alone  My heart is drenched in wine But you'll be on my mind Forever Something has to make you run I don't know why I didn't come I feel as empty as a drum I don't know why I didn't come I don't know why I didn't come I don't know why I didn't come
